1991,-1.7,7.4,18.2,9.3,
1992,0.6,8.6,17.3,9.1,
1993,0.4,7.8,17.3,8.9,
1994,1.2,9.2,18.5,9.5,
1995,0.8,7.9,17.1,8.6,
1996,1,7.9,17.1,8.5,
1997,1.5,8.7,17.1,9.7,
1998,0.4,7.8,18.1,7.9,
1999,-0.1,8.7,17.4,9.5,
2000,1.3,8.9,17,9.8,
2001,0.1,9.1,17.7,9,
2002,1,8.6,17.3,9.4,
2003,-0.2,8.4,20.5,8.5,
2004,0.5,7.4,17.7,10.1,
2005,-1.6,8.2,17.3,9.6,
2006,-0.3,8,17.6,10.7,
2007,1.5,9.8,17.1,8,
2008,0.9,8.3,17.2,9.2,
2009,-1.2,8.8,17.7,9.5,
2010,-1.2,7.2,17,8.4,
2011,0.1,8.6,16.5,8.9,
2012,-2.2,8,17.5,9.1,
2013,-0.9,6.8,16,8.9,
2014,1.7,7.3,15.7,10.4,
2015,0.1,7.7,18,8.2,
2016,0.3,7.9,17.1,9.6,
2017,0.4,8.8,18.2,10.3